0	100
5	93
10	87
15	80
20	76
25	73
30	70
35	67
40	63
45	50
50	43
55	37
60	30
65	25
70	20
75	15
80	13
85	11
90	10
95	11
100	13
105	15
110	20
115	25
120	30
125	37
130	43
135	50
140	57
145	63
150	70
155	73
160	76
165	80
170	87
175	93
180	100
185	93
190	87
195	80
200	76
205	73
210	70
215	67
220	63
225	50
230	43
235	37
240	30
245	25
250	20
255	15
260	13
265	11
270	10
275	11
280	13
285	15
290	20
295	25
300	30
305	37
310	43
315	50
320	57
325	63
330	70
335	73
340	80
345	87
350	93
355	95
